arm,n,test_acc,test_sd,prev_only,prev_sd,weight_norm,radius
lambda_1.0000,3,0.9544905940691629,0.010393672602103244,0.09098202930140865,0.04299266110258809,22.594561767578128,20.372645314534505
lambda_0.3000,3,0.9563316702842712,0.009881367593284554,0.08591542893352905,0.04137180787690862,22.61516049702962,21.67474937438965
lambda_3.0000,3,0.9513380805651347,0.010581501586652461,0.08397948515670982,0.040042971867457415,22.569757715861005,19.066371790568034
lambda_0.1000,3,0.9574399511019388,0.009281676310443871,0.0667919612258427,0.038790413937088944,22.628841527303063,22.679925155639648
lambda_10.0000,3,0.9452063043912252,0.010722187376481946,0.06617156477942544,0.03849014503946237,22.537156041463216,17.771574274698896
lambda_0.0300,3,0.9589881499608358,0.009044587819042469,0.05505999705201248,0.036244059403176355,22.636301549275718,23.31239878336589
lambda_0.0100,3,0.9593643387158712,0.009257575164720396,0.05197144842127779,0.03503876937613242,22.63888104756673,23.54896863301595
lambda_0.0030,3,0.9595696806907653,0.009040913288674832,0.05047830928702348,0.03414970144350062,22.63984769185384,23.639785257975262
lambda_0.0010,3,0.9596010526021321,0.008983013961852446,0.05011489049340728,0.034078055879376117,22.64012908935547,23.666604741414385
lambda_0.0000,3,0.9596346735954285,0.009002588451608432,0.04990901998907147,0.03405550957281363,22.640269724527997,23.680213673909503
