lam,layer,radial_excess,g_rad_norm,n
0.0001,0,17.50292733711829,2.7649933826978668e-06,3
0.0001,1,94.68880431058835,1.0465876802830584e-06,3
0.0001,2,-4.850357117227412,2.9584891194645024e-06,3
0.003,0,11.479106205729943,2.418414889386137e-06,3
0.003,1,25.6032446563525,1.6561961388106282e-06,3
0.003,2,-1.7907894432263542,2.8060482994381645e-06,3
0.006,0,9.190356510905724,2.5269396170794304e-06,3
0.006,1,14.550706992574833,1.971818322014466e-06,3
0.006,2,-1.4339519162691603,2.7415300451139047e-06,3
0.01,0,7.229822097250126,2.678873681816185e-06,3
0.01,1,8.845115727214319,2.193698291345451e-06,3
0.01,2,-1.3651693323966831,2.7045196058376554e-06,3
0.1,0,-0.6513773421165319,3.7852657783332687e-06,2
0.1,1,0.24766807757646134,2.736169767558749e-06,2
0.1,2,-0.12491912640303085,2.4653454090639567e-06,2
1.0,0,-0.15267109669416853,3.88726686537666e-06,2
1.0,1,-0.014536521804031822,2.65849110974159e-06,2
1.0,2,-0.0593024710532994,2.43908783659208e-06,2
10.0,0,-0.015195780964391522,4.512797363531717e-06,3
10.0,1,0.004599954712691812,2.545877407555963e-06,3
10.0,2,0.01501859230627905,2.276547945712082e-06,3
