lam,seed_mean,seed_std,seed_count,test_acc_mean,test_acc_std,test_acc_count,prev_tasks_acc_mean,prev_tasks_acc_std,prev_tasks_acc_count,drift_overlap_mean,drift_overlap_std,drift_overlap_count,drift_rad_mean,drift_rad_std,drift_rad_count,radial_excess_mean,radial_excess_std,radial_excess_count
0.0,3.0,1.5811388300841898,5,0.9586750453710555,0.0010921620057704432,5,0.21176781401531572,0.0034035961664930126,5,0.9975013262033462,0.00021596889149689841,5,0.0024152952630538496,5.862688437795841e-05,5,18.128118517029584,0.048870219788672765,5
0.0001,3.0,1.5811388300841898,5,0.9588250464200974,0.0009440632002057518,5,0.23765095250054363,0.003824089014628728,5,0.9976878279447556,0.0002205034430770006,5,0.0025303230935242024,0.00010904796793721977,5,17.497998277771774,0.06443246135863258,5
0.0003,3.0,1.5811388300841898,5,0.9592800468206406,0.0004511787426053713,5,0.2742140234072591,0.002625216582031521,5,0.9975757622718812,0.00035950263076086464,5,0.0025808196340221913,0.00010272426140062992,5,16.446890604126754,0.049831873699023053,5
0.001,3.0,1.5811388300841898,5,0.9592200469970702,0.0009582513438041414,5,0.32665508618632433,0.007074275450264844,5,0.9976357907056809,0.00018607971848448875,5,0.002710639549186453,0.00010086082233322944,5,14.256028978455367,0.08969968927214711,5
0.003,3.0,1.5811388300841898,5,0.9595250457525253,0.0003566330478183252,5,0.345745576888982,0.0014638631909891253,5,0.9978321212530137,9.465150289956512e-05,5,0.0030110179423354566,0.00021193445889256486,5,11.493646318543258,0.044057099419417385,5
0.006,3.0,1.5811388300841898,5,0.9605750453472137,0.00027613364067658505,5,0.34301735201621636,0.00578789416309997,5,0.9975578439235686,0.00026579442768050003,5,0.003174331560730934,6.653279445190254e-05,5,9.209506227600874,0.0921111178703603,5
0.01,3.0,1.5811388300841898,5,0.9608500468730927,0.0008624082907068113,5,0.3388399805134046,0.0049391791791315535,5,0.9972524970769883,0.00035353000349943,5,0.0035609574546106157,9.267665962069116e-05,5,7.243188669312301,0.04429089088100948,5
0.02,3.0,1.5811388300841898,5,0.9617200458049775,0.0008395264118686649,5,0.3314475473708611,0.0033490153505843024,5,0.9968560039997101,0.00038087217599226225,5,0.004170736437663436,9.47143383878084e-05,5,4.283208849060836,0.052323382671280234,5
0.03,3.0,1.5811388300841898,5,0.9619850426912308,0.0008614301695308979,5,0.3318959285727234,0.005269974313891592,5,0.9967032170295715,0.00015163359995633085,5,0.004619403071701526,0.00013390427831388679,5,2.589193193543258,0.045842455493315844,5
0.1,1.5,0.7071067811865476,2,0.9630250468850137,0.00010606886630491791,2,0.3274552945239759,0.002660779504272471,2,0.9946533083915711,0.001364356706570406,2,0.005593464698176832,5.06129814602314e-05,2,-0.6513773421165319,0.02704229465903855,2
0.3,3.0,1.4142135623730951,2,0.9622125446796417,0.000123747361912781,2,0.31293094105982344,0.005625635555365545,2,0.9953095927834511,0.000527191747256061,2,0.007197180285584181,1.5236991235386668e-05,2,-0.7832742194053501,0.016058758502142043,2
1.0,3.3333333333333335,1.5275252316519465,3,0.9627083778381348,0.0010915431152389093,3,0.29841706713392496,0.000802185539320268,3,0.9946720550457636,7.384395856797308e-05,3,0.010221777522626022,0.00028099365595153967,3,-0.14522654014001002,0.010512512729892053,3
10.0,3.25,1.707825127659933,4,0.9629875451326371,0.0008884650229119045,4,0.2956880068072428,0.0016901083515515401,4,0.9940483927726745,0.0007773492330364704,4,0.01196071783779189,0.0004302861838822568,4,-0.01728780068129012,0.005132224135883514,4
inf,3.0,1.5811388300841898,5,0.9588800436258316,0.00028581256776725485,5,0.21162433476879833,0.002971406226103677,5,0.9961832910776138,0.0009302150467734264,5,0.002468572903890163,4.354157447653986e-05,5,-5.701896519383354e-07,0.0,5
