arm_name,curve,x_val,test_acc_mean,test_acc_std,prev_tasks_acc_mean,prev_tasks_acc_std
BP (lr=0.003),A,0.003,0.8696200424432755,0.0018057547535151803,0.5072833832770741,0.009236564336276452
BP (lr=0.01),A,0.01,0.920060042142868,0.0013456622684167173,0.43055813106614976,0.010644626832842778
BP (lr=0.03),A,0.03,0.9509400457143784,0.0005236909814630602,0.42358108059604954,0.007973619626614355
BP (lr=0.1),A,0.1,0.9634200453758239,0.0006253443886731918,0.48165938875952224,0.008299446498628255
BP (lr=0.1),B,0.0,0.9634200453758239,0.0006253443886731918,0.48165938875952224,0.008299446498628255
BP (lr=0.3),A,0.3,0.9699300450086593,0.0004998104945253104,0.39145827621208806,0.012489505463912868
RS (lam=0.03),B,0.03,0.9630300480127335,0.0005877383569426773,0.5704256058115904,0.009258468464877052
RS (lam=0.1),B,0.1,0.9627650481462477,0.0008592487272723458,0.5513644469377811,0.004820710865004328
RS (lam=0.3),B,0.3,0.9619050484895706,0.0006042556303801272,0.5300808641390451,0.0038607947600514387
RS (lam=1.0),B,1.0,0.961360045671463,0.0002759095228679893,0.5037057924579914,0.0038819446629880456
RS (lam=10.0),B,10.0,0.9611550444364548,0.0003878607365598794,0.4788026738567214,0.005846520594784253
RS (lam=3.0),B,3.0,0.9613900464773177,0.0007940436040747543,0.48895763594613495,0.005465689501853233
