arm_name,test_acc_mean,test_acc_std,prev_tasks_acc_mean,prev_tasks_acc_std
bp,0.9586750453710555,0.0010921620057704432,0.21176781401531572,0.0034035961664930126
cbp,0.9586687989532947,0.0004844986551689054,0.21165191247958207,0.004306556587658765
l2,0.9670450466871262,0.0007364184194532355,0.12335215583037336,0.0007838695655539377
l2_init,0.9513250477612019,0.000843606063442699,0.11233893404469733,0.0005984497974191575
ln_l2,0.9695050472021103,0.0008950220047211793,0.16470508555837432,0.0025227249086885403
mas,0.4085500206798315,0.014925203420127733,0.39819085725355746,0.004711630876092759
rs,0.9619850426912308,0.0008614301695308979,0.3318959285727234,0.005269974313891592
si,0.9297625422477722,0.0016256404947160023,0.4002739505913384,0.00268491533711111
sp,0.9461050432920455,0.0020893610013920294,0.12369508937025823,0.0012695632526366308
ewc_10000,0.7480600386857986,0.002427743714969914,0.4374954151186389,0.0036502240670450883
rs_ewc_10000,0.7444667021433512,0.004352897740553179,0.47674884446822835,0.01075821192587649
