layer,metric,pooled_r,p_value
0,stable_rank,0.050015500926430964,0.4856669517558734
0,update_norm,-0.022476699090294792,0.7541918283701023
0,eff_rank,-0.023661324555986865,0.7416828470348851
0,dormant_frac,-0.07381046433263144,0.3093556976944618
0,weight_norm,-0.10635150919180775,0.13703378543472278
0,phi_rad_tilde,-0.1728863509687004,0.014996663098388652
0,grad_norm,-0.1745510813609385,0.014034928795550572
0,radial_excess,-0.17456779702325875,0.01531917098253488
0,readiness,-0.24807901800756316,0.00041719073196810896
0,dead_frac,-0.34219500845002937,0.05482967706681485
1,stable_rank,0.2904022889715052,3.1180955994081216e-05
1,eff_rank,0.2817619500202419,5.493095859576691e-05
1,phi_rad_tilde,0.11079179512956962,0.12125868373815774
1,update_norm,0.019132699737461196,0.7898386085422391
1,dormant_frac,-0.1380606270729261,0.052950871723201454
1,weight_norm,-0.1445428017420853,0.04261668198426127
1,grad_norm,-0.14835568687512204,0.037368165838490564
1,readiness,-0.24807901800756316,0.00041719073196810896
1,radial_excess,-0.2776672226641023,8.847529404598653e-05
1,dead_frac,-0.30397169916290456,0.00025167115959745523
2,eff_rank,0.3201666341373158,3.802494163096526e-06
2,stable_rank,0.2784639836604543,6.783789714814858e-05
2,phi_rad_tilde,0.0263702313929787,0.7133355916409962
2,update_norm,-0.05447344987427871,0.4475659691866989
2,radial_excess,-0.1488366573351447,0.03925737183616662
2,weight_norm,-0.15974860817494455,0.02481546931630918
2,dead_frac,-0.2395495615566473,0.001230411347771465
2,readiness,-0.24807901800756316,0.00041719073196810896
2,grad_norm,-0.25441491769035934,0.0002910270070726195
2,dormant_frac,-0.26914614083587785,0.00012132070083148427
